index,feature,group,importance
0,summary_charlen,NLP_lengths,0.004918348
1,summary_wordlen,NLP_lengths,0.00238413
2,pros_charlen,NLP_lengths,0.023540454
3,pros_wordlen,NLP_lengths,0.0015473067
4,cons_charlen,NLP_lengths,0.068949014
5,cons_wordlen,NLP_lengths,0.0028581293
6,summary_ld_PDT,NLP_POS_tags,0.001358355
7,summary_ld_IN,NLP_POS_tags,0.0025031755
8,summary_ld_``,NLP_POS_tags,0.0016533739
9,summary_ld_JJS,NLP_POS_tags,0.008763985
10,summary_ld_RBS,NLP_POS_tags,0.0046516447
11,summary_ld_NNP,NLP_POS_tags,0.005629554
12,summary_ld_DT,NLP_POS_tags,0.0068564597
13,summary_ld_EX,NLP_POS_tags,0.001463827
14,summary_ld_NNS,NLP_POS_tags,0.0020249833
15,summary_ld_CC,NLP_POS_tags,0.0019342904
16,summary_ld_VBD,NLP_POS_tags,0.0027041987
17,summary_ld_.,NLP_POS_tags,0.0047203037
18,summary_ld_(,NLP_POS_tags,0.0014982055
19,summary_ld_UH,NLP_POS_tags,0.0013599838
20,summary_ld_VBN,NLP_POS_tags,0.008072348
21,summary_ld_RP,NLP_POS_tags,0.004960179
22,summary_ld_JJR,NLP_POS_tags,0.0029728655
23,summary_ld_WDT,NLP_POS_tags,0.0031546673
24,"summary_ld_,",NLP_POS_tags,0.001684778
25,summary_ld_VBZ,NLP_POS_tags,0.004763028
26,summary_ld_MD,NLP_POS_tags,0.002425615
27,summary_ld_PRP,NLP_POS_tags,0.0038310504
28,summary_ld_PRP$,NLP_POS_tags,0.0016962376
29,summary_ld_$,NLP_POS_tags,0.0016038243
30,summary_ld_WP,NLP_POS_tags,0.0020274976
31,summary_ld_VBG,NLP_POS_tags,0.0028180152
32,summary_ld_NN,NLP_POS_tags,0.004800274
33,summary_ld_CD,NLP_POS_tags,0.0021627943
34,summary_ld_),NLP_POS_tags,0.0008148012
35,summary_ld_RBR,NLP_POS_tags,0.0025842458
36,summary_ld_VBP,NLP_POS_tags,0.0029927653
37,summary_ld_WRB,NLP_POS_tags,0.0014749363
38,summary_ld_NNPS,NLP_POS_tags,0.0017200124
39,summary_ld_TO,NLP_POS_tags,0.019081943
40,summary_ld_RB,NLP_POS_tags,0.021107802
41,summary_ld_VB,NLP_POS_tags,0.005183632
42,summary_ld_JJ,NLP_POS_tags,0.0068664313
43,pros_ld_PDT,NLP_POS_tags,0.0017314308
44,pros_ld_IN,NLP_POS_tags,0.0012454839
45,pros_ld_``,NLP_POS_tags,0.0016898689
46,pros_ld_JJS,NLP_POS_tags,0.0014835668
47,pros_ld_RBS,NLP_POS_tags,0.0020181763
48,pros_ld_NNP,NLP_POS_tags,0.0019109499
49,pros_ld_DT,NLP_POS_tags,0.003756115
50,pros_ld_EX,NLP_POS_tags,0.0052006003
51,pros_ld_NNS,NLP_POS_tags,0.003023792
52,pros_ld_CC,NLP_POS_tags,0.002323439
53,pros_ld_VBD,NLP_POS_tags,0.0034630538
54,pros_ld_POS,NLP_POS_tags,0.0016397041
55,pros_ld_.,NLP_POS_tags,0.001525566
56,pros_ld_(,NLP_POS_tags,0.0015314519
57,pros_ld_UH,NLP_POS_tags,0.0016655554
58,pros_ld_VBN,NLP_POS_tags,0.0016166567
59,pros_ld_RP,NLP_POS_tags,0.0016199271
60,pros_ld_JJR,NLP_POS_tags,0.0021558206
61,pros_ld_WDT,NLP_POS_tags,0.002067229
62,pros_ld_FW,NLP_POS_tags,0.0020670118
63,"pros_ld_,",NLP_POS_tags,0.0040143616
64,pros_ld_VBZ,NLP_POS_tags,0.0016748414
65,pros_ld_MD,NLP_POS_tags,0.0047964384
66,pros_ld_PRP,NLP_POS_tags,0.0023932618
67,pros_ld_PRP$,NLP_POS_tags,0.0026543338
68,pros_ld_$,NLP_POS_tags,0.001834739
69,pros_ld_WP,NLP_POS_tags,0.0018688613
70,pros_ld_VBG,NLP_POS_tags,0.001487416
71,pros_ld_NN,NLP_POS_tags,0.0021302928
72,pros_ld_CD,NLP_POS_tags,0.0018135046
73,pros_ld_),NLP_POS_tags,0.0013330266
74,pros_ld_SYM,NLP_POS_tags,0.0
75,pros_ld_RBR,NLP_POS_tags,0.0016726118
76,pros_ld_VBP,NLP_POS_tags,0.0037755514
77,pros_ld_WRB,NLP_POS_tags,0.0018666179
78,pros_ld_NNPS,NLP_POS_tags,0.0014402777
79,pros_ld_TO,NLP_POS_tags,0.001435935
80,pros_ld_RB,NLP_POS_tags,0.0015063137
81,pros_ld_VB,NLP_POS_tags,0.0022029968
82,pros_ld_JJ,NLP_POS_tags,0.0023634115
83,cons_ld_PDT,NLP_POS_tags,0.0015789245
84,cons_ld_IN,NLP_POS_tags,0.0017916702
85,cons_ld_``,NLP_POS_tags,0.001888399
86,cons_ld_JJS,NLP_POS_tags,0.0016290135
87,cons_ld_RBS,NLP_POS_tags,0.0019208946
88,cons_ld_DT,NLP_POS_tags,0.0026235278
89,cons_ld_NNP,NLP_POS_tags,0.008381625
90,cons_ld_EX,NLP_POS_tags,0.0040560924
91,cons_ld_NNS,NLP_POS_tags,0.0017078357
92,cons_ld_CC,NLP_POS_tags,0.0016281692
93,cons_ld_VBD,NLP_POS_tags,0.0018324384
94,cons_ld_POS,NLP_POS_tags,0.0018014696
95,cons_ld_.,NLP_POS_tags,0.0030985142
96,cons_ld_(,NLP_POS_tags,0.0016813957
97,cons_ld_VBN,NLP_POS_tags,0.0017687454
98,cons_ld_UH,NLP_POS_tags,0.001733047
99,cons_ld_RP,NLP_POS_tags,0.0016771628
100,cons_ld_JJR,NLP_POS_tags,0.002953126
101,cons_ld_WDT,NLP_POS_tags,0.0017291727
102,cons_ld_FW,NLP_POS_tags,0.0016029357
103,"cons_ld_,",NLP_POS_tags,0.0036396456
104,cons_ld_VBZ,NLP_POS_tags,0.0013942082
105,cons_ld_MD,NLP_POS_tags,0.011537614
106,cons_ld_PRP,NLP_POS_tags,0.0025864518
107,cons_ld_PRP$,NLP_POS_tags,0.0018691758
108,cons_ld_$,NLP_POS_tags,0.0017631715
109,cons_ld_WP,NLP_POS_tags,0.0020097238
110,cons_ld_VBG,NLP_POS_tags,0.0015773928
111,cons_ld_NN,NLP_POS_tags,0.0035310767
112,cons_ld_CD,NLP_POS_tags,0.0033220195
113,cons_ld_),NLP_POS_tags,0.0018565604
114,cons_ld_SYM,NLP_POS_tags,0.0010693234
115,cons_ld_RBR,NLP_POS_tags,0.0015142179
116,cons_ld_VBP,NLP_POS_tags,0.0016801613
117,cons_ld_WRB,NLP_POS_tags,0.0018127322
118,cons_ld_NNPS,NLP_POS_tags,0.0019507693
119,cons_ld_TO,NLP_POS_tags,0.002563429
120,cons_ld_RB,NLP_POS_tags,0.0015134452
121,cons_ld_VB,NLP_POS_tags,0.0032315615
122,cons_ld_JJ,NLP_POS_tags,0.0017107598
123,pros_emolex_fear,NLP_EmoLex,0.0017084987
124,pros_emolex_anger,NLP_EmoLex,0.0017665084
125,pros_emolex_anticip,NLP_EmoLex,0.0
126,pros_emolex_trust,NLP_EmoLex,0.0012814918
127,pros_emolex_surprise,NLP_EmoLex,0.0045253197
128,pros_emolex_positive,NLP_EmoLex,0.0066722804
129,pros_emolex_negative,NLP_EmoLex,0.0017538784
130,pros_emolex_sadness,NLP_EmoLex,0.0016853473
131,pros_emolex_disgust,NLP_EmoLex,0.0027408963
132,pros_emolex_joy,NLP_EmoLex,0.0015902085
133,cons_emolex_fear,NLP_EmoLex,0.0015705689
134,cons_emolex_anger,NLP_EmoLex,0.0059370217
135,cons_emolex_anticip,NLP_EmoLex,0.0
136,cons_emolex_trust,NLP_EmoLex,0.007329133
137,cons_emolex_surprise,NLP_EmoLex,0.0016990837
138,cons_emolex_positive,NLP_EmoLex,0.0027937654
139,cons_emolex_negative,NLP_EmoLex,0.0018489115
140,cons_emolex_sadness,NLP_EmoLex,0.0018730529
141,cons_emolex_disgust,NLP_EmoLex,0.023304176
142,cons_emolex_joy,NLP_EmoLex,0.0015127363
143,pros_nltk_sia,NLP_NLTK,0.031562112
144,cons_nltk_sia,NLP_NLTK,0.012751759
145,ODI_related_vocab_pros,NLP_ODI_vocab,0.0018285983
146,ODI_related_vocab_cons,NLP_ODI_vocab,0.0022007457
147,pros_empath_help,NLP_Empath,0.0015520897
148,pros_empath_office,NLP_Empath,0.0019700744
149,pros_empath_money,NLP_Empath,0.0017208294
150,pros_empath_domestic_work,NLP_Empath,0.0017647356
