feature,importance
cons_sim_ODI_Worthlessness,0.07074656
cons_charlen,0.068949014
pros_nltk_sia,0.031562112
pros_charlen,0.023540454
cons_emolex_disgust,0.023304176
summary_ld_RB,0.021107802
summary_ld_TO,0.019081943
cons_sim_ODI_Psycomotor alterations,0.016969683
cons_nltk_sia,0.012751759
pros_sim_JDI_Coworkers,0.012629865
cons_sim_JDI_Supervision,0.012047273
cons_ld_MD,0.011537614
cons_empath_swearing_terms,0.00957538
Sector_Transportation_ohe,0.009187118
summary_ld_JJS,0.008763985
cons_ld_NNP,0.008381625
summary_ld_VBN,0.008072348
pros_sim_ODI_Fatigue,0.0077270013
cons_emolex_trust,0.007329133
summary_ld_JJ,0.0068664313
summary_ld_DT,0.0068564597
pros_emolex_positive,0.0066722804
cons_emolex_anger,0.0059370217
State name_Tennessee_ohe,0.0058482946
pros_sim_JDI_Pay,0.005834824
summary_ld_NNP,0.005629554
cons_sim_ODI_Fatigue,0.0053334394
pros_ld_EX,0.0052006003
summary_ld_VB,0.005183632
days from review to t0,0.0050576166
summary_ld_RP,0.004960179
summary_charlen,0.004918348
summary_ld_NN,0.004800274
pros_ld_MD,0.0047964384
summary_ld_VBZ,0.004763028
summary_ld_.,0.0047203037
pros_sim_JDI_Work itself,0.0046981624
summary_ld_RBS,0.0046516447
pros_emolex_surprise,0.0045253197
Market Capitalization,0.004117353
cons_ld_EX,0.0040560924
"pros_ld_,",0.0040143616
cons_sim_ODI_Sleep alterations,0.003909306
summary_ld_PRP,0.0038310504
pros_ld_VBP,0.0037755514
pros_ld_DT,0.003756115
"cons_ld_,",0.0036396456
cons_ld_NN,0.0035310767
Sector_targenc_mean,0.003507024
pros_ld_VBD,0.0034630538
cons_ld_CD,0.0033220195
cons_empath_occupation,0.0033209778
cons_ld_VB,0.0032315615
days from foundation to review,0.0032053005
summary_ld_WDT,0.0031546673
cons_sim_ODI_Appetite alterations,0.0031497153
State name_Oregon_ohe,0.0031190056
cons_ld_.,0.0030985142
cons_sim_ODI_Anhedonia,0.0030778595
cons_sim_JDI_Work itself,0.0030711442
pros_ld_NNS,0.003023792
summary_ld_VBP,0.0029927653
Sector_Retail Trade_ohe,0.0029921716
summary_ld_JJR,0.0029728655
cons_ld_JJR,0.002953126
pros_sim_JDI_Supervision,0.0029270933
cons_wordlen,0.0028581293
summary_ld_VBG,0.0028180152
cons_emolex_positive,0.0027937654
pros_emolex_disgust,0.0027408963
summary_ld_VBD,0.0027041987
Sector_Consumer Non-Durables_ohe,0.0026683612
pros_ld_PRP$,0.0026543338
State name_targenc_mean,0.002634837
cons_ld_DT,0.0026235278
cons_ld_PRP,0.0025864518
summary_ld_RBR,0.0025842458
cons_ld_TO,0.002563429
pros_empath_suffering,0.002530964
NumberofEmployees,0.0025284528
summary_ld_IN,0.0025031755
State name_targenc_median,0.0024859742
Sector_Distribution Services_ohe,0.0024827742
cons_sim_ODI_Suicidal ideation,0.0024797674
cons_empath_fun,0.0024674141
summary_ld_MD,0.002425615
pros_ld_PRP,0.0023932618
summary_wordlen,0.00238413
pros_ld_JJ,0.0023634115
State name_Washington_ohe,0.002337119
pros_ld_CC,0.002323439
State name_Delaware_ohe,0.0023163352
Sector_Consumer Services_ohe,0.0023099636
Market Cap per Employee,0.0023091917
Sector_Energy Minerals_ohe,0.0022965565
cons_sim_JDI_Promotion,0.0022878975
pros_empath_achievement,0.0022537422
pros_ld_VB,0.0022029968
ODI_related_vocab_cons,0.0022007457
pros_empath_vacation,0.002166026
summary_ld_CD,0.0021627943
pros_ld_JJR,0.0021558206
pros_sim_ODI_Appetite alterations,0.002138082
pros_ld_NN,0.0021302928
State name_Virginia_ohe,0.002117003
cons_empath_vacation,0.002110192
pros_empath_health,0.0020899402
cons_empath_money,0.0020812198
Sector_Producer Manufacturing_ohe,0.0020797544
pros_empath_sleep,0.0020765755
pros_ld_WDT,0.002067229
pros_ld_FW,0.0020670118
summary_ld_WP,0.0020274976
summary_ld_NNS,0.0020249833
pros_empath_occupation,0.0020248052
pros_empath_negative_emotion,0.002020424
pros_ld_RBS,0.0020181763
cons_empath_wealthy,0.0020168128
pros_empath_home,0.0020158095
State name_Indiana_ohe,0.00201287
cons_ld_WP,0.0020097238
State name_Maryland_ohe,0.0020048372
State name_Iowa_ohe,0.002004272
cons_empath_help,0.0019988948
pros_sim_ODI_Worthlessness,0.0019977386
Sector_Health Technology_ohe,0.001994063
State name_Missouri_ohe,0.0019931453
cons_sim_ODI_Cognitive impairment,0.0019858137
cons_sim_JDI_Coworkers,0.0019850966
Sector_Communications_ohe,0.0019820856
pros_empath_office,0.0019700744
year,0.0019663072
pros_sim_ODI_Anhedonia,0.001959349
pros_sim_ODI_Psycomotor alterations,0.0019513371
cons_ld_NNPS,0.0019507693
cons_empath_negative_emotion,0.0019457992
Sector_Process Industries_ohe,0.0019452573
cons_empath_home,0.0019376087
Founded,0.0019346095
summary_ld_CC,0.0019342904
State name_Connecticut_ohe,0.0019238318
cons_empath_sleep,0.0019230571
cons_ld_RBS,0.0019208946
pros_ld_NNP,0.0019109499
pros_sim_ODI_Depressed mood,0.0019084939
State name_Michigan_ohe,0.0019083216
cons_empath_family,0.0019005367
cons_ld_``,0.001888399
cons_emolex_sadness,0.0018730529
cons_ld_PRP$,0.0018691758
pros_ld_WP,0.0018688613
pros_sim_ODI_Suicidal ideation,0.0018679181
pros_ld_WRB,0.0018666179
cons_empath_rage,0.0018622223
cons_ld_),0.0018565604
cons_emolex_negative,0.0018489115
cons_empath_payment,0.0018473692
cons_empath_suffering,0.0018445427
pros_sim_JDI_Promotion,0.0018410252
cons_sim_JDI_Pay,0.0018389059
cons_sim_ODI_Depressed mood,0.0018382783
pros_ld_$,0.001834739
cons_ld_VBD,0.0018324384
ODI_related_vocab_pros,0.0018285983
pros_ld_CD,0.0018135046
cons_ld_WRB,0.0018127322
State name_New Jersey_ohe,0.0018106423
pros_sim_ODI_Cognitive impairment,0.0018100593
